Organization Name,Legacy_Account_ID,Contact ID,ACT_LegacyID,MembershipWorks_ID,Contact Name,Address,City,State,Postal Code,Country,Email Address,Phone,Website,Self-Study Enrollment Date,Self-Study Expires,Award Date,Award Expiration,County,Licensed Capacity,Number of Classrooms,Number of Staff,Days of Operation,Hours of Operation,Accredited Program,Affiliate Membership,accredited_program,Join Date
St. Joseph Academy,,,,5dfaa4fde79c695b3b30df6c,Karrie Krueger,1600 W. Oklahoma Ave.,Milwaukee,WI,53215,US,kkrueger@sjamilwaukee.org,414-645-5337,,3/6/2018,3/6/2020,2/18/2016,2/18/2020,Milwaukee,160,9,40,M-F,6:00 - 6:00,Accredited Program,,accredited_program,6-Jan-15
KinderCare Learning Center #000416,,,,5dfaa4fde79c695b3b30df6d,Kashmir Shaffer,2600 Lake Sahara Drive,Las Vegas,NV,89117,US,000416@kindercare.com,702-254-9111,www.kindercare.com/,12/19/2016,12/19/2018,7/31/2018,7/31/2022,Clark,134,5,17,M-F,6:30 - 6:30,Accredited Program,,accredited_program,18-Mar-10
KinderCare Learning Center #301561,,,,5dfaa4fde79c695b3b30df6e,Kassie Crooks,11737 Seven Gables Road,Cincinnati,OH,45249,US,301561@kindercare.com;kcrooks@kindercare.com,513-774-0111,www.kindercare.com/,8/2/2018,8/2/2020,8/3/2016,8/3/2020,Hamilton,162,7,16,M-F,6:30 - 6:30,Accredited Program,,accredited_program,10-Feb-05
All My Children Academy,,,,5dfaa4fde79c695b3b30df6f,Katherine Green,2061 N. Dixie Hwy.,Pompano Beach,FL,33060,US,pat1amca@yahoo.com,954-783-6774,,9/16/2019,9/16/2021,7/10/2017,7/10/2021,Broward,140,6,10,M-F,6:45 - 5:30,Accredited Program,,accredited_program,30-Oct-06
Berkley Building Blocks,,,,5dfaa4fde79c695b3b30df70,Kathleen Fotiu,14700 W. Lincoln,,MI,,US,kathleen.fotiu@berkleyschools.org,248-837-8900,www.berkleyschools.org,9/25/2014,9/25/2016,11/1/2018,8/1/2020,Oakland,220,27,60,M-F,7:00-6:00,Accredited Program,,accredited_program,30-Mar-11
Rogy's Learning Place Normal,,,,5dfaa4fde79c695b3b30df71,Kathryn Juris,1106 S. Main St.,Normal,IL,61761,US,director.mainstreet@cadence-academy.com,309-452-9611,,6/12/2018,6/12/2020,4/27/2016,4/27/2020,McLean,176,10,31,M-F,6:00 - 6:00,Accredited Program,,accredited_program,12-May-14
"Hampshire Academy, Inc.",,,,5dfaa4fde79c695b3b30df72,Kathryn Lavender and Deborah Hunt,1114 N. New Hampshire Ave.,Tavares,FL,32778,US,hampshireacademy@embarqmail.com,352-343-2367,,11/16/2018,11/16/2020,11/16/2016,11/16/2020,Lake,73,5,10,M-F,6:30 - 6:00,Accredited Program,,accredited_program,8-Apr-11
Children's Safari Learning Center,,,,5dfaa4fde79c695b3b30df73,Kathy Balderrama,"7307 E. Hampton Ave., Ste. 103",Mesa,AZ,85209,US,admin@azchildrenssafari.com,480-621-4031,www.AzChildrensSafari.com,6/13/2016,6/13/2018,12/20/2017,12/20/2021,Maricopa,109,9,20,M-F,6:00 - 6:00,Accredited Program,,accredited_program,28-Feb-08
KinderCare Learning Center #301459,,,,5dfaa4fde79c695b3b30df74,Kathy Figlewsik,1239 Rickert Drive,Naperville,IL,60540,US,301459@klcorp.com,630-778-8767,www.kindercare.com/,8/31/2017,8/31/2019,7/15/2019,7/15/2023,DuPage,140,10,17,M-F,6:15 - 6:15,Accredited Program,,accredited_program,2-Jun-06
Grace Lutheran Child Development Center,,,,5dfaa4fde79c695b3b30df75,Katie Dennis,248 E. Main Street,Twin Lakes,WI,53181,US,gracelutherantl@gmail.com,262-877-3221,,3/13/2017,3/13/2019,8/29/2018,8/29/2022,Kenosha,96,6,16,M-F,6:00 - 5:30,Accredited Program,,accredited_program,6-Jan-15
KinderCare Learning Center #300745,,,,5dfaa4fde79c695b3b30df76,Katie MacLeod,324 E. Green St.,Bensenville,IL,60106,US,300745@kindercare.com,630-766-2727,www.kindercare.com/,11/4/2018,11/4/2020,11/8/2016,11/8/2020,DuPage,91,6,13,M-F,6:30 - 6:00,Accredited Program,,accredited_program,4-Nov-04
KinderCare Learning Center #301024,,,,5dfaa4fde79c695b3b30df77,Katie Stoker,11404 Slater Ave. NE,Kirkland,WA,98033,US,301024@klcorp.com,425-828-3583,www.kindercare.com/,4/30/2018,4/30/2020,5/2/2016,5/2/2020,King,119,7,18,M-F,6:30 - 6:30,Accredited Program,,accredited_program,10-Feb-05
KinderCare Learning Center #301254,,,,5dfaa4fde79c695b3b30df78,Katrica Hoggs,11501 N. 53rd St.,Temple Terrace,FL,33617,US,301254@klcorp.com,813-980-3188,www.kindercare.com/,4/26/2019,4/26/2021,5/8/2017,5/8/2021,Hillsborough,110,6,17,M-F,6:30 - 6:30,Accredited Program,,accredited_program,14-Dec-04
Cadence Academy Preschool,,,,5dfaa4fde79c695b3b30df79,Katrina Marfise,2031 Mayfield Drive,Montgomery,IL,60538,US,director.monty@cadence-academy.com,630-264-2031,,9/10/2018,9/10/2020,9/1/2016,9/1/2020,Kendall,181,10,30,M-F,6:00 - 6:30,Accredited Program,,accredited_program,7-Jan-11
KinderCare Learning Center #000400,,,,5dfaa4fee79c695b3b30df7a,Kay Haley,2728 Ben's Branch Drive,Kingwood,TX,77339,US,000400@kindercare.com;kingwood@kindercare.com,281-361-4067,www.kindercare.com/,8/3/2017,8/3/2019,8/7/2019,8/7/2023,Harris,145,6,11,M-F,6:00-6:30,Accredited Program,,accredited_program,11-May-06
La Petite Academy #7152,,,,5dfaa4fee79c695b3b30df7b,Kaycee Steele,635 Lincoln Ave.,Stoughton,WI,53589,US,7152@lapetite.com;ksteele1@lapetite.com,608-873-5039,www.lapetite.com,10/17/2019,10/17/2021,11/10/2017,11/10/2021,Dane,112,8,13,M-F,6:30 - 6:00,Accredited Program,,accredited_program,10-Apr-11
KinderCare Learning Center #300360,,,,5dfaa4fee79c695b3b30df7c,Kayla Fowler,1026 Red Banks Road,Greenville,NC,27858,US,300360@klcorp.com,252-756-4334,www.kindercare.com/,4/25/2017,4/25/2019,1/30/2019,1/30/2023,Pitt,100,6,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,30-Jul-09
Kids Discovery Academy,,,,5dfaa4fee79c695b3b30df7d,Keisha Jackson and Candice Lewis,933 Barnes Bridge Road,Mesquite,TX,75150,US,discoveryinc@att.net,972-698-9338,,9/17/2018,9/17/2020,9/16/2016,9/16/2020,Dallas,107,6,9,M-F,6:00 - 7:00,Accredited Program,,accredited_program,24-Nov-14
KinderCare Learning Center #301818,,,,5dfaa4fee79c695b3b30df7e,Kelcee Sherman,3269 E. Germann Road,Gilbert,AZ,85297,US,301818@klcorp.com,480-279-5106,www.kindercare.com/,8/26/2016,8/26/2018,1/16/2019,1/16/2023,Maricopa,184,5,20,M-F,6:00 - 6:30,Accredited Program,,accredited_program,2-Feb-09
Mary Go Round Child Care Center,,,,5dfaa4fee79c695b3b30df7f,Keleigh Smith / Mary Hancock,10810 Hannaway Drive,Riverview,FL,33578,US,marygoround25@aol.com,813-677-2111,www.marygoroundchildcare.com/,7/13/2019,7/13/2021,7/11/2017,7/11/2021,Hillsborough,105,8,10,M-F,6:00 - 6:00,Accredited Program,,accredited_program,19-Jan-07
Children First @ North Port,,,,5dfaa4fee79c695b3b30df80,Kellene Carpenter,6926 Children Way,North Port,FL,34287,US,kcarpenter@childrenfirst.net,941-685-6060,childrenfirst.net,12/22/2016,12/22/2018,11/19/2018,11/19/2022,Sarasota,120,9,18,M-F,7:00 - 5:30,Accredited Program,,accredited_program,12-Nov-08
Cheerful Home Child Care and Early Learning,,,,5dfaa4fee79c695b3b30df81,Kelley Giesing,315 S. 5th St.,Quincy,IL,62301,US,director@cheerfulhome.org,217-228-0654,,3/12/2018,3/12/2020,3/9/2016,3/9/2020,Adams,176,8,40,M-F,6:30 - 5:30,Accredited Program,,accredited_program,14-Feb-08
KinderCare Learning Center #301795,,,,5dfaa4fee79c695b3b30df82,Charlene McNeace,15415 W. Bell Road,Surprise,AZ,85374,US,301795@kindercare.com,623-975-1592,www.kindercare.com/,12/18/2019,12/18/2021,12/19/2017,12/19/2021,Maricopa,239,8,14,M-F,6:00 - 6:30,Accredited Program,,accredited_program,1-Jun-05
Marshall Child Development Center,,,,5dfaa4fee79c695b3b30df83,Kelli Wright,Building 4346 Morris Road,Huntsville,AL,35808,US,kelli.l.wright@nasa.gov,256-544-8609,mcdc.msfc.nasa.gov/,8/31/2017,8/31/2019,6/14/2019,6/14/2023,Madison,128,11,30,M-F,6:45-5:45,Accredited Program,,accredited_program,30-May-06
"Step by Step Child Care Center, Inc",,,,5dfaa4fee79c695b3b30df84,Kelly Beall,306 S. Division St.,Braidwood,IL,60408,US,step458@gmail.com,815-458-3401,www.stepbystepccc.com,12/3/2019,12/3/2021,12/18/2017,12/18/2021,Will,83,6,12,M-F,6:00 - 6:00,Accredited Program,,accredited_program,7-Nov-16
Rogy's Learning Place - Elwood,,,,5dfaa4fee79c695b3b30df85,Kelly Gibler,4607 W. Elwood Drive,Peoria,IL,61604,US,hilltop@cadence-education.com,309-676-3638,rogys.com,12/18/2018,12/18/2020,12/19/2016,12/19/2020,Peoria,128,6,19,M-F,6:00 - 6:00,Accredited Program,,accredited_program,7-Jun-04
Sand Box Child Care & Preschool,,,,5dfaa4fee79c695b3b30df86,Kelly Jensen,664 W. Cedar St.,Medford,WI,54451,US,info@sandboxchildcare.com,715-748-4525,www.sandboxchildcare.com,6/25/2019,6/25/2021,7/13/2017,7/13/2021,Taylor,100,7,16-20,M-F,4:00 am-7:00 pm,Accredited Program,,accredited_program,10-Feb-16
Kid Central Early Childhood & School Age Center,,,,5dfaa4fee79c695b3b30df87,Kelly Ray Hunter,8281 State Hwy. 17,Elgin,OK,73538,US,mskellyskids@yahoo.com,(580) 492-5800,,12/5/2016,12/5/2018,7/26/2018,7/26/2022,Comanche,89,6,15,M-F,6:00 - 6:00,Accredited Program,,accredited_program,15-Mar-13
KinderCare Learning Center #300738,,,,5dfaa4fee79c695b3b30df88,Kelly Schmitt,1184 Witt Road,Cincinnati,OH,45255,US,300738@klcorp.com;keschmitt@kindercare.com,513-474-5340,www.kindercare.com/,3/3/2017,3/3/2019,2/25/2019,2/25/2023,Hamilton,99,5,13,M-F,6:00 - 6:00,Accredited Program,,accredited_program,10-Jan-05
Days Gone By Early Learning,,,,5dfaa4fee79c695b3b30df89,Loralie Wallerius,3225 Lorch Ave.,Eau Claire,WI,54701,US,home@daysgonebyel.com;kelsey@daysgonebyel.com,715-835-1234,www.DaysGoneByEL.com/,4/3/2017,4/3/2019,4/30/2019,4/30/2023,Eau Claire,100,8,20,M-F,6:00 - 6:30,Accredited Program,,accredited_program,16-Jul-12
Days Gone By Early Learning,,,,5dfc16ade79c69671d17a9fc,,3221 Lorch Ave,Eau Claire,WI,54701,US,kelsey@daysgonebyel.com,715-835-1234,,,,,,,,,,,,,,,
Days Gone By Early Learning,,,,5dfc16f1e79c695d46693800,,3221 Lorch Ave,Eau Claire,WI,54701,US,aolson1@ecasd.us,715-835-1234,,,,,,,,,,,,,,,
Kids Country Green,,,,5dfaa4fee79c695b3b30df8a,Kelsey Shackelford,1801 Town Park Blvd.,Uniontown,OH,44685,US,kelsey_shackelford@kidscountry.com,330-899-0909,www.kidscountry.com/,3/21/2018,3/21/2020,3/15/2016,3/15/2020,Summit,188,8,33,M-F,6:30 - 6:30,Accredited Program,,accredited_program,27-Aug-07
Children's Kastle Christian Learning Center,,,,5dfaa4fee79c695b3b30df8b,Kelsey Stempien-Quinn,3966 Walden Ave.,Lancaster,NY,14086,US,kstempien@childrenskastle.com,716-681-2601,www.childrenskastle.com,3/30/2018,3/30/2020,3/30/2016,3/30/2020,Erie,93,6,22,M-F,6:45 - 5:45,Accredited Program,,accredited_program,20-Sep-10
KinderCare Learning Center #301095,,,,5dfaa4fee79c695b3b30df8c,Kelsy Cowley,17025 S. Park Ave.,South Holland,IL,60473,US,301095@klcorp.com,708-331-2511,www.kindercare.com/,1/3/2019,1/3/2021,12/19/2016,12/19/2020,Cook,128,6,18,M-F,6:00 - 6:30,Accredited Program,,accredited_program,6-Dec-04
Xplor - Marine Creek,,,,5dfaa4fee79c695b3b30df8d,Kendal Parker,4601 Huffines Blvd,Fort Worth,TX,76135,US,kendal.parker@xplortoday.com,817-237-2644,childrenscourtyard.com,9/5/2018,9/5/2020,6/21/2016,6/21/2020,Tarrant,251,10,18,M-F,6:30-6:30,Accredited Program,,accredited_program,5-Aug-10
KinderCare Learning Center #000594,,,,5dfaa4fee79c695b3b30df8e,Kendra Parlin,401 Park Road,Columbus,OH,43085,US,000594@klcorp.com;kparlin@kindercare.com,614-848-3002,www.kindercare.com/,6/7/2018,6/7/2020,6/8/2016,6/8/2020,Franklin,99,5,12,M-F,6:00 - 6:00,Accredited Program,,accredited_program,6-Feb-08
Holy Trinity Learning Center,,,,5dfaa4fee79c695b3b30df8f,Kendra Roddy,2901 N. O'Connor Road,Irving,TX,75062,US,director@holytrinitylearningcenter.com,972-570-1161,www.holytrinitylearningcenter.com,7/25/2018,7/25/2020,7/25/2016,7/25/2020,Dallas,110,5,14,M-F,6:30 - 6:00,Accredited Program,,accredited_program,4-Dec-14
KinderCare Learning Center #000655,,,,5dfaa4fee79c695b3b30df90,Kendra Williams,6424 East Raines Road,Memphis,TN,38115,US,000655@kindercare.com,901-795-7417,www.kindercare.com/,12/12/2016,12/12/2018,7/23/2018,7/23/2022,Shelby,165,6,14,M-F,6:30 - 6:30,Accredited Program,,accredited_program,25-Jun-12
Kidz Kampus Preschool & Daycare,,,,5dfaa4fee79c695b3b30df91,Kensey Gabbard,7949 W. Indian School Road,Phoenix,AZ,85033,US,kenseygabbard@msn.com,623-849-1651,azchildcare.net,6/4/2019,6/4/2021,6/15/2017,6/15/2021,Maricopa,189,11,26,M-F,6:00 - 4:30,Accredited Program,,accredited_program,1-Jul-13
Gordon Cooper ECEC,,,,5dfaa4ffe79c695b3b30df92,Keri Laxton,1 John C. Bruton Blvd.,Shawnee,OK,74804,US,keril@gctech.edu,405-273-7493,,6/4/2019,6/4/2021,6/20/2017,6/20/2021,Pottawotomie,18,2,4,M-F,7:30 - 4:30,Accredited Program,,accredited_program,6-Mar-09
Wellington Academy LLC,,,,5dfaa4ffe79c695b3b30df93,Keri Rams,4412 SE 15th Ave.,Cape Coral,FL,33904,US,southcape@wellingtonacademyschools.com,239-549-8818,wellingtonacademyschools.com/,10/11/2017,10/11/2019,8/21/2019,8/21/2023,Lee,164,6,15,M-F,6:30 - 6:00,Accredited Program,,accredited_program,9-Oct-01
Easter Seals Child Dev. Center Teen Parent West,,,,5dfaa4ffe79c695b3b30df94,Khalilah Law,"2704 N. Highland Ave., Tampa, FL 33602",Tampa,FL,33602,US,klaw@fl.easterseals.com;papril-criddell@fl.easterseals.com,813-233-2655,,6/21/2017,6/21/2019,4/17/2019,4/17/2023,Hillsborough,45,2,6,M-F,7:00 - 3:30,Accredited Program,,accredited_program,23-Jul-07
Imagination Station Too,,,,5dfaa4ffe79c695b3b30df95,Kim Vukelja,528 N. Peninsula Drive,Daytona Beach,FL,32118,US,imaginationstn@bellsouth.net,386-255-3755,www.imaginationstationmontessori.com/,9/26/2018,9/26/2020,11/8/2016,11/8/2020,Volusia,100,4,17,M-F,7:30 - 5:30,Accredited Program,,accredited_program,13-Mar-06
KinderCare Learning Center #000607,,,,5dfaa4ffe79c695b3b30df96,Kim Williams,1653 N. Baldwin Road,Palatine,IL,60074,US,000607@kindercare.com,847-359-2270,www.kindercare.com/,7/13/2017,7/13/2019,10/28/2019,10/28/2023,Cook,140,7,15,M-F,6:30 - 6:00,Accredited Program,,accredited_program,5-Mar-08
KinderCare Learning Center #301132,,,,5dfaa4ffe79c695b3b30df97,Kimberly Forrest,1024 Spring Villas Point,Winter Springs,FL,32708,US,301132@klcorp.com,407-699-8614,www.kindercare.com/,7/25/2017,7/25/2019,6/25/2019,6/25/2023,Seminole,136,7,13,M-F,6:30 - 6:30,Accredited Program,,accredited_program,26-Oct-04
"Toddle Town, Inc. Learning Journey",,,,5dfaa4ffe79c695b3b30df98,Kimberly Murphy,225 South High Street,Belleville,IL,62220,US,learningjourney225@gmail.com,618-355-5875,bellevilledaycare.com,6/15/2018,6/15/2020,6/21/2016,6/21/2020,St. Clair,83,4,11,M-F,6:30 - 6:00,Accredited Program,,accredited_program,27-Sep-06
KinderCare Learning Center #000052,,,,5dfaa4ffe79c695b3b30df99,Kimberly Reed,4705 Avery Road,Hilliard,OH,43026,US,000052@kindercare.com;kireed@kindercare.com,614-777-1077,www.kindercare.com/,6/5/2017,6/5/2019,3/6/2019,3/6/2023,Franklin,100,5,14,M-F,6:00 - 6:00,Accredited Program,,accredited_program,3-May-10
Chapman Child Development Center,,,,5dfaa4ffe79c695b3b30df9a,Kimberly Terry,2500 Madison Ave.,Covington,KY,41014,US,kim.terry@covington.kyschools.us,859-655-9545,,4/26/2019,4/26/2021,5/22/2017,5/22/2021,Kenton,83,5,11,M-F,7:00 - 5:00,Accredited Program,,accredited_program,4-Jun-09
The Family Place Child Development Center,,,,5dfaa4ffe79c695b3b30df9b,Kimberly Thornton,7890 Samuell Blvd.,Dallas,TX,75227,US,kthornton@familyplace.org,214-367-7724,familyplace.org/,5/13/2019,5/13/2021,5/12/2017,5/12/2021,Dallas,127,5,14,M-F,7:30 - 6:00,Accredited Program,,accredited_program,12-Dec-11
KinderCare Learning Center #000881,,,,5dfaa4ffe79c695b3b30df9c,Kimberly Tillmon,7040 N. Woodward Ave.,Woodridge,IL,60517,US,000881@kindercare.com;ktillmon@kindercare.com,630-852-2611,www.kindercare.com/,7/15/2019,7/15/2021,8/1/2017,8/1/2021,DuPage,122,7,14,M-F,6:15 - 6:15,Accredited Program,,accredited_program,1-Dec-08
Hearts & Hands Inc. of Mount Horeb,,,,5dfaa4ffe79c695b3b30df9d,Kimberly Treamer,8900 Ridgeview Road,Mount Horeb,WI,53572,US,heartsandhands@mhtc.net,608-437-6401,,11/6/2017,11/6/2019,6/24/2019,6/24/2023,Dane,110,7,20,M-F,6:45 - 5:45,Accredited Program,,accredited_program,
The Vine Preschool at St. James,,,,5dfaa4ffe79c695b3b30df9e,Kimberly Vargas,5614 Old Mill Road,Alexandria,VA,22309,US,kim@thevinepreschool.com,703-780-1800,www.thevinepreschool.com,4/26/2016,4/26/2018,6/7/2019,6/7/2023,Fairfax,40,5,7,M-F,6:30 - 6:00,Accredited Program,,accredited_program,27-Apr-16
Step by Step Child Care/Morris,,,,5dfaa4ffe79c695b3b30df9f,Kimberly Wilson,123 Brentwood Drive,Morris,IL,60450,US,sbsccc@yahoo.com,815-941-1122,www.stepbystepccc.com,12/17/2018,12/17/2020,12/30/2016,12/30/2020,Grundy,149,9,20,M-F,6:00 - 6:00,Accredited Program,,accredited_program,28-Feb-11
Vista Colina Child Development Program,,,,5dfaa4ffe79c695b3b30dfa0,Kira Boothe,1050 W. Mountain View,Phoenix,AZ,85021,US,kboothe@cassaz.org,602-870-8778,,8/5/2016,8/5/2018,6/27/2018,6/27/2022,Maricopa,30,4,6,M-F,8:00 - 4:30,Accredited Program,,accredited_program,12-Apr-06
Wirtzie's Preschool,,,,5dfaa4ffe79c695b3b30dfa1,Kresta Horn,16752 N. Greasewood St.,Surprise,AZ,85378,US,khorn@benevilla.org,623-207-6022,www.benevilla.org,6/4/2018,6/4/2020,6/20/2016,6/20/2020,Maricopa,87,4,15,M-F,6:30 - 6:00,Accredited Program,,accredited_program,22-May-14
Lakewood United Methodist Child Development Program,,,,5dfaa4ffe79c695b3b30dfa2,Kris Ramos,11330 Louetta Road,Houston,TX,77070,US,kris.ramos@lakewoodumc.org,281-370-2276,,11/7/2017,11/7/2019,7/23/2019,7/23/2023,Harris,140,17,37,M-F,9:15 - 2:30,Accredited Program,,accredited_program,31-Jul-09
Miami University - Campus Kids,,,,5dfaa4ffe79c695b3b30dfa3,Krista Lambright,1601 University Blvd.,Hamilton,OH,45011,US,crawfokr@miamioh.edu,513-785-3011,www.ham.muohio.edu/campuskids,7/3/2017,7/3/2019,5/13/2019,5/13/2023,Butler,38,2,19,M-F,7:30 - 5:30,Accredited Program,,accredited_program,7-May-13
KinderCare Learning Center #000827,,,,5dfaa4ffe79c695b3b30dfa4,Maggie Hattock,11633 E. 31st St.,Tulsa,OK,74146,US,000827@kindercare.com,918-663-1937,www.kindercare.com/,10/2/2018,10/2/2020,6/2/2016,6/2/2020,Tulsa,120,5,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,9-Aug-06
KinderCare Learning Center #301001,,,,5dfaa4ffe79c695b3b30dfa5,Kristen Smith,6215 Stone Road,Centreville,VA,20120,US,301001@kindercare.com,703-830-6712,www.kindercare.com/,4/29/2017,4/29/2019,9/25/2019,9/25/2023,Fairfax,120,6,15,M-F,6:30 - 6:30,Accredited Program,,accredited_program,19-Apr-12
KinderCare Learning Center #300733,,,,5dfaa4ffe79c695b3b30dfa6,Kristin Blair,1190 Stone Drive,Harrison,OH,45030,US,300733@kindercare.com;krblair@kindercare.com,513-367-6515,www.kindercare.com/,5/25/2018,5/25/2020,5/27/2016,5/27/2020,Hamilton,104,6,14,M-F,6:00 - 6:00,Accredited Program,,accredited_program,19-Nov-12
KinderCare Learning Center #300387,,,,5dfaa4ffe79c695b3b30dfa7,Kristin Morgan,525 East Saginaw Hwy.,East Lansing,MI,48823,US,300387@kindercare.com,517-351-6166,www.kindercare.com/,12/12/2016,12/12/2018,7/6/2018,7/6/2022,Ingham,90,5,15,M-F,6:30 - 6:00,Accredited Program,,accredited_program,18-Apr-07
St. Peter's Child Development Center,,,,5dfaa4ffe79c695b3b30dfa8,Kristina Wildsmith,2061 Patton Chapel Road,Birmingham,AL,35216,US,stpeterscdc@gmail.com,205-822-9461,,6/21/2019,6/21/2021,7/12/2017,7/12/2021,Jefferson,150,11,29,M-F,7:00-6:00,Accredited Program,,accredited_program,27-Oct-09
KinderCare Learning Center #301139,,,,5dfaa4ffe79c695b3b30dfa9,Krys Newman,4304 Bell Shoals Road,Valrico,FL,33596,US,301139@klcorp.com,813-654-0572,www.kindercare.com/,5/3/2017,5/3/2019,3/5/2019,3/5/2023,Hillsborough,135,8,16,M-F,6:30 - 6:30,Accredited Program,,accredited_program,14-Dec-04
Precious Memories Daycare LLC,,,,5dfaa4ffe79c695b3b30dfaa,Krystal Gossen and Cassandra Smith,132 W. Menasha Ave,Whitelaw,WI,54247,US,director.preciousmemories@gmail.com;admin.pmd@tm.net,920-732-3473,,5/11/2018,5/11/2020,8/30/2019,8/30/2020,Manitowoc,70,9,21,M-F,5:00-6:00,Accredited Program,,accredited_program,14-Nov-13
Kids R Kids of Round Rock,,,,5dfaa4ffe79c695b3b30dfab,Kurt Poe and Karen Todd,1455 Red Bud Lane,Round Rock,TX,78664,US,karen@kidsrkidsroundrock.com;brenda@kidsrkidsroundrock.com;jenna@kidsrkidsroundrock.com;kurt@kidsrkidsroundrock.com,512 248-2178,www.kidsrkidsroundrock.com,8/20/2019,8/20/2021,8/24/2017,8/24/2021,Williamson,260,12,35,M-F,6:30 - 6:30,Accredited Program,,accredited_program,17-Sep-14
KinderCare Learning Center #300835,,,,5dfaa500e79c695b3b30dfac,Kylie Miller,14 Berkshire Drive,Crystal Lake,IL,60014,US,300835@kindercare.com,815-459-5490,www.kindercare.com/,12/27/2016,12/27/2018,10/10/2018,10/10/2022,McHenry,88,6,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,6-Dec-04
KinderCare Learning Center #300987,,,,5dfaa500e79c695b3b30dfad,L'orali Galati,8140 SW Warm Springs St.,Tualatin,OR,97062,US,300987@klcorp.com,503-692-4835,www.kindercare.com/,7/27/2017,7/27/2019,5/29/2019,5/29/2023,Washington,120,9,17,M-F,6:00 - 6:30,Accredited Program,,accredited_program,15-Feb-07
"Neighborhood Christian Learning Center of Dallas, Inc.",,,,5dfaa500e79c695b3b30dfae,La'kitsha Proctor-Lee,1111 E. Ledbetter Drive,Dallas,TX,75216,US,llee@nclcofdallas.com,214-372-4411,nclcofdallas.com,11/25/2019,11/25/2021,11/22/2017,11/22/2021,Dallas,146,4,7,M-F,6:30 - 6:00,Accredited Program,,accredited_program,2-Mar-07
The Second Avenues Preschool,,,,5dfaa500e79c695b3b30dfaf,Lacey Casper,91 N. R Street,Salt Lake City,UT,84103,US,secondavenues@childtimeinc.com,801 328-4660,,5/30/2017,5/30/2019,5/17/2019,5/17/2023,Salt Lake,56,4,9,M-F,7:30 - 6:00,Accredited Program,,accredited_program,23-Jul-14
Old Spanish Trail Christian Day School,,,,5dfaa500e79c695b3b30dfb0,Lakisha Prewitt,9395 E. Old Spanish Trail,Tucson,AZ,85710,US,kelli.m@lcjbinc.com;lakisha.p@lcjbinc.com,520-885-8531,www.smallmiraclesaz.com/old-spanish-trail,8/23/2018,8/23/2020,8/23/2016,8/23/2020,Pima,119,7,13,M-F,6:30-6:00,Accredited Program,,accredited_program,2-Oct-98
KinderCare Learning Center #300083,,,,5dfaa500e79c695b3b30dfb1,Larissa Allen,861 Eastwind Drive,Westerville,OH,43081,US,300083@kindercare.com;larallen@kindercare.com,614-890-1234,www.kindercare.com/,12/10/2018,12/10/2020,12/6/2016,12/6/2020,Franklin,95,6,13,M-F,6:30 - 6:00,Accredited Program,,accredited_program,3-Mar-11
Acelero Learning Wisconsin - NGN,,,,5dfaa500e79c695b3b30dfb2,LaTasha Terrell,1220 Mound Ave.,Racine,WI,53404,US,lterrell@acelero.net;bkilimann@acelero.net,262-635-1920,,4/1/2015,4/1/2017,3/21/2018,3/21/2022,Racine,165,9,14,M-F,7:00 - 5:30,Accredited Program,,accredited_program,1-Apr-15
KinderCare Learning Center #3010413,,,,5dfaa500e79c695b3b30dfb3,Lateshia Byrd,2263 Stantonsburg Road,Greenville,NC,27834,US,301041@klcorp.com,252-752-0094,www.kindercare.com/,4/19/2017,4/19/2019,2/1/2019,2/1/2023,Pitt,130,7,16,M-F,6:30 - 6:00,Accredited Program,,accredited_program,30-Jul-09
KinderCare Learning Center #301433,,,,5dfaa500e79c695b3b30dfb4,Latresse Hill,6900 Preston Meadow Drive,Plano,TX,75024,US,301433@klcorp.com,972-618-1499,www.kindercare.com/,1/19/2018,1/19/2020,1/18/2016,1/18/2020,Collin,153,6,14,M-F,6:30 - 6:30,Accredited Program,,accredited_program,6-Jun-08
Memorial Children's Center Operated by Bright Horizons,,,,5dfaa500e79c695b3b30dfb5,Laura Bakker,6046 Harvin Road,Jacksonville,FL,32216,US,laura.bakker@brighthorizons.com,904-702-1285,,1/4/2017,1/4/2019,11/20/2018,11/20/2022,Duval,160,7,17,M-F,6:15 - 7:30,Accredited Program,,accredited_program,6-Jan-06
Rock Creek Academy,,,,5dfaa500e79c695b3b30dfb6,Laura Cotarelo,2700 Stonebridge Pkwy.,Hollywood,FL,33026,US,rockcreekacademy@aol.com,954-435-2380,www.rockcreekpreschool.com,5/31/2017,5/31/2019,1/17/2019,1/17/2023,Broward,230,12,25,M-F,7:00 - 6:00,Accredited Program,,accredited_program,19-Jan-10
The Gan at Temple Sinai,,,,5dfaa500e79c695b3b30dfb7,Laura Freedman,4631 S. Lockwood Ridge Road,Sarasota,FL,34231,US,laura@templesinai-sarasota.org,941-926-9462,www.thegansarasota.org,6/6/2018,6/6/2020,6/9/2016,6/9/2020,Sarasota,80,4,8,M-F,9:00 - 1:00,Accredited Program,,accredited_program,17-Apr-08
